;Antigua Guatemala;Chichicastenango;Chimaltenango;Coban;Escuintla;Guatemala;Huehuetenango;Izabal;Quetzaltenango;Retalhuleu;Tikal;
Antigua Guatemala;0;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
Chichicastenango;1000;0;1000;1000;1000;1000;1000;1000;1000;1000;1000
Chimaltenango;1000;1000;0;1000;1000;1000;1000;1000;1000;1000;1000
Coban;1000;1000;1000;0;1000;1000;1000;1000;1000;1000;1000
Escuintla;1000;1000;1000;1000;0;1000;1000;1000;1000;1000;1000
Guatemala;1000;1000;1000;1000;1000;0;1000;1000;1000;1000;1000
Huehuetenango;1000;1000;1000;1000;1000;1000;0;1000;1000;1000;1000
Izabal;1000;1000;1000;1000;1000;1000;1000;0;1000;1000;1000
Quetzaltenango;1000;1000;1000;1000;1000;1000;1000;1000;0;1000;1000
Retalhuleu;1000;1000;1000;1000;1000;1000;1000;1000;1000;0;1000
Tikal;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;0
